dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1781377089,1,-79.701944,43.522066,0.000000,36.774848,-1.000000,228.540007,1,0,177.758593
1781377096,1,-79.703223,43.522597,0.000000,43.556100,-1.000000,119.058711,1,0,180.008593
1781377115,1,-79.705592,43.524152,0.000000,39.792007,-1.000000,257.939072,1,0,180.958593
1781377124,1,-79.707082,43.524429,0.000000,11.927529,14.159230,124.332437,1,0,178.793811
1781377138,1,-79.709080,43.525164,0.000000,32.724228,-1.000000,181.002777,1,0,180.195123
1781377151,1,-79.710906,43.525844,0.000000,38.714433,-1.000000,165.837749,1,0,182.195123
1781377234,1,-79.713886,43.525325,0.000000,98.736003,-1.000000,247.731038,1,0,182.495123
1781377244,1,-79.714507,43.523443,0.000000,13.389088,16.838623,215.044783,1,0,187.543682
1781377253,1,-79.715771,43.522543,0.000000,46.639911,-1.000000,142.976443,1,0,189.475123
1781377323,1,-79.724097,43.517849,0.000000,49.343286,21.045485,851.562417,1,0,174.483018
1781377328,1,-79.725443,43.517713,0.000000,12.853274,21.473835,109.870788,1,0,183.615123
1781377335,1,-79.727313,43.517251,0.000000,71.702784,-1.000000,159.669317,1,0,183.615123
1781377415,1,-79.739969,43.506330,0.000000,5.630642,18.776386,1587.346310,1,0,183.060634
1781377508,1,-79.750222,43.499885,0.000000,31.180812,17.210289,1095.608011,1,0,196.103732
1781377549,1,-79.755303,43.498484,0.000000,42.659861,17.643881,439.421050,1,0,224.627798
1781377591,1,-79.765197,43.506431,0.000000,263.483656,-1.000000,1191.598260,1,0,193.477163
1781377635,1,-79.764655,43.505747,0.000000,76.897313,2.465089,87.731981,1,0,193.068977
1781377677,1,-79.769207,43.509302,0.000000,129.793253,-1.000000,539.925966,1,0,192.635123
1781377735,1,-79.777414,43.515501,0.000000,41.962616,16.194811,956.442965,1,0,153.850631
1781377745,1,-79.778882,43.516143,0.000000,56.572407,-1.000000,138.488281,1,0,180.865123
1781377753,1,-79.780303,43.517498,0.000000,51.178252,-1.000000,189.383874,1,0,186.195123
1781377811,1,-79.792203,43.524705,0.000000,244.632431,-1.000000,1251.748555,1,0,193.005123
1781377843,1,-79.793346,43.524498,0.000000,68.634777,-1.000000,95.231555,1,0,193.005123
1781377851,1,-79.794986,43.523110,0.000000,51.970823,-1.000000,203.381416,1,0,193.005123
1781377858,1,-79.795690,43.522330,0.000000,59.218244,-1.000000,103.683363,1,0,195.185123
1781377873,1,-79.800130,43.518033,0.000000,230.430619,-1.000000,597.326569,1,0,197.265123
1781377910,1,-79.804557,43.514306,0.000000,18.834412,22.650600,547.362701,1,0,198.403532
1781377916,1,-79.805598,43.513374,0.000000,17.970164,22.473560,133.446137,1,0,198.412469
1781377924,1,-79.806503,43.512542,0.000000,74.821468,-1.000000,117.898158,1,0,198.412469
1781377980,1,-79.811706,43.506902,0.000000,96.947086,-1.000000,754.787286,1,0,197.792469
1781377988,1,-79.811994,43.505607,0.000000,68.951296,-1.000000,145.755116,1,0,197.792469
1781377995,1,-79.813311,43.504667,0.000000,90.589450,-1.000000,149.170309,1,0,197.792469
1781378011,1,-79.817223,43.502412,0.000000,27.355533,21.036060,403.563644,1,0,185.300806
1781378019,1,-79.819072,43.501422,0.000000,41.624486,-1.000000,185.631151,1,0,197.792469
1781378044,1,-79.826177,43.498339,0.000000,104.554813,-1.000000,668.994186,1,0,195.512469
1781378089,1,-79.826523,43.497414,0.000000,83.131113,-1.000000,106.514725,1,0,189.462469
1781378095,1,-79.825861,43.496639,0.000000,94.122095,-1.000000,101.396078,1,0,189.462469
1781378104,1,-79.827959,43.494990,0.000000,66.598103,-1.000000,249.719968,1,0,191.472469
1781378108,1,-79.827476,43.493325,0.000000,14.181050,21.829443,189.071232,1,0,177.088834
1781378113,1,-79.828438,43.492600,0.000000,10.863232,22.260477,111.997485,1,0,193.572469
1781378138,1,-79.832335,43.489112,0.000000,33.376018,-1.000000,499.556284,1,0,185.082469
1781378151,1,-79.834086,43.488319,0.000000,90.568997,-1.000000,166.807822,1,0,189.402469
1781378209,1,-79.834452,43.487158,0.000000,8.944779,0.000000,132.347517,1,0,183.933680
1781378261,1,-79.837348,43.484443,0.000000,96.562782,-1.000000,381.943561,1,0,187.692469
1781378282,1,-79.839457,43.483290,0.000000,45.527440,-1.000000,213.353930,1,0,188.312469
1781378288,1,-79.840775,43.482064,0.000000,67.275159,-1.000000,172.983253,1,0,188.312469
1781378301,1,-79.841621,43.481092,0.000000,73.683585,-1.000000,127.854689,1,0,190.542469
1781378334,1,-79.842629,43.480071,0.000000,39.636720,-1.000000,139.710732,1,0,188.472469
1781378341,1,-79.843473,43.479210,0.000000,51.558207,-1.000000,117.532316,1,0,187.562469
1781378348,1,-79.845184,43.477966,0.000000,96.325692,-1.000000,195.616580,1,0,189.672469
1781378377,1,-79.853038,43.474024,0.000000,144.056569,-1.000000,771.786137,1,0,191.822469
1781378385,1,-79.852446,43.471559,0.000000,87.380959,-1.000000,278.032005,1,0,198.442469
1781378399,1,-79.854240,43.469456,0.000000,78.303515,-1.000000,275.078487,1,0,197.692469
1781378406,1,-79.855724,43.469682,0.000000,45.089885,-1.000000,122.680270,1,0,194.582469
1781378423,1,-79.856792,43.467207,0.000000,13.937834,9.680987,288.245752,1,0,189.631684
1781378446,1,-79.860938,43.470121,0.000000,68.421892,-1.000000,466.232724,1,0,187.732469
1781378452,1,-79.861869,43.470722,0.000000,45.450465,-1.000000,100.668603,1,0,189.762469
1781378459,1,-79.863555,43.471933,0.000000,59.175465,-1.000000,191.614221,1,0,189.762469
1781378473,1,-79.865890,43.473519,0.000000,45.469193,-1.000000,258.362193,1,0,189.762469
1781378480,1,-79.867389,43.474659,0.000000,80.070129,23.699743,175.372865,1,0,189.762469
1781378494,1,-79.869877,43.477203,0.000000,96.332060,-1.000000,347.011091,1,0,191.642469
1781378516,1,-79.871573,43.478235,0.000000,68.109902,-1.000000,178.823668,1,0,191.642469
1781378521,1,-79.873422,43.478739,0.000000,22.084816,19.060181,159.741150,1,0,178.299302
1781378527,1,-79.874303,43.479377,0.000000,16.023577,19.016699,100.528251,1,0,191.642469
1781378534,1,-79.875454,43.480392,0.000000,35.520454,-1.000000,146.254896,1,0,193.702469
1781378540,1,-79.876297,43.481317,0.000000,36.150210,-1.000000,123.344251,1,0,193.702469
1781378574,1,-79.883724,43.486384,0.000000,239.254709,-1.000000,823.381621,1,0,194.102469
1781378611,1,-79.885400,43.485245,0.000000,25.101131,13.275749,185.470307,1,0,194.102469
1781378627,1,-79.880018,43.482632,0.000000,199.266454,-1.000000,334.626945,1,0,194.102469
1781378635,1,-79.876073,43.480408,0.000000,62.291078,-1.000000,403.629253,1,0,194.102469
1781378643,1,-79.882292,43.481150,0.000000,118.975225,-1.000000,246.900838,1,0,196.242469
1781378668,1,-79.893692,43.477680,0.000000,81.692823,-1.000000,999.650462,1,0,197.752469
1781378682,1,-79.895094,43.477077,0.000000,76.372383,-1.000000,131.736714,1,0,197.752469
1781378743,1,-79.902645,43.482681,0.000000,119.671343,-1.000000,872.290807,1,0,224.282469
1781378750,1,-79.903874,43.481813,0.000000,44.486181,-1.000000,138.520547,1,0,227.422469
1781378759,1,-79.903275,43.482853,0.000000,75.407519,-1.000000,54.434970,1,0,233.202469
1781378806,1,-79.911108,43.487523,0.000000,59.507585,-1.000000,819.014723,1,0,292.612469
1781378844,1,-79.913099,43.486458,0.000000,82.970542,-1.000000,199.865386,1,0,308.632469
1781378861,1,-79.916126,43.484790,0.000000,33.943076,-1.000000,307.107711,1,0,311.152469
1781378870,1,-79.916687,43.483788,0.000000,74.662504,-1.000000,120.225405,1,0,313.652469
1781378908,1,-79.921002,43.479421,0.000000,67.302079,-1.000000,597.746749,1,0,322.502469
1781378930,1,-79.920685,43.478548,0.000000,39.674906,-1.000000,100.330389,1,0,314.722469
1781378939,1,-79.919312,43.477878,0.000000,32.930243,-1.000000,133.719963,1,0,314.722469
1781378954,1,-79.917924,43.474980,0.000000,70.730857,-1.000000,341.013117,1,0,315.302469
1781378962,1,-79.916470,43.474731,0.000000,88.679009,-1.000000,120.855417,1,0,315.552469
1781379001,1,-79.912059,43.471614,0.000000,43.986182,-1.000000,497.311502,1,0,306.222469
1781379067,1,-79.913574,43.470973,0.000000,8.488060,3.565232,141.778282,1,0,309.139618
1781379097,1,-79.914801,43.470703,0.000000,4.748652,7.897385,103.720464,1,0,303.267866
1781379134,1,-79.913880,43.469722,0.000000,22.253977,4.077022,132.039066,1,0,298.617178
1781379386,1,-79.913298,43.469014,0.000000,81.824171,0.000000,91.683383,1,0,244.214248
1781379515,1,-79.912556,43.468482,0.000000,4.748651,0.915244,84.254527,1,0,301.944343
1781379598,1,-79.911783,43.467778,0.000000,4.748651,0.959681,100.153832,1,0,284.721508
1781379782,1,-79.912978,43.467515,0.000000,4.748652,0.840940,101.016541,1,0,297.022640
1781379871,1,-79.914215,43.467441,0.000000,4.748651,0.636399,100.433576,1,0,294.304774
1781379974,1,-79.915350,43.467835,0.000000,4.748651,2.176035,101.741954,1,0,283.459082
1781380061,1,-79.916557,43.468067,0.000000,4.748652,0.902836,101.012996,1,0,285.490023
1781380157,1,-79.917693,43.468439,0.000000,4.748652,0.310575,100.788202,1,0,292.304924
1781380388,1,-79.918403,43.469182,0.000000,4.748651,0.704430,100.576745,1,0,292.284258
1781380464,1,-79.919549,43.469525,0.000000,4.748652,0.707382,100.258291,1,0,292.164679
1781380544,1,-79.920644,43.469948,0.000000,4.748652,1.030841,100.298797,1,0,288.895825
1781380625,1,-79.921751,43.470360,0.000000,4.748652,1.008932,100.595625,1,0,290.868142
1781380706,1,-79.922803,43.470833,0.000000,4.748651,0.679904,100.041968,1,0,292.492823
1781380784,1,-79.923746,43.471417,0.000000,4.748652,1.100927,100.164400,1,0,288.174439
1781380873,1,-79.924725,43.471974,0.000000,4.748652,0.560426,100.526935,1,0,295.924587
1781380957,1,-79.925953,43.471794,0.000000,4.748651,1.092668,101.360748,1,0,289.784473
1781381035,1,-79.927111,43.472127,0.000000,4.748651,0.858854,100.743768,1,0,293.424438
1781381117,1,-79.928352,43.472163,0.000000,4.748651,1.154301,100.499765,1,0,297.014329
1781381313,1,-79.929354,43.472703,0.000000,4.748652,0.740172,100.865279,1,0,298.739560
1781381395,1,-79.930541,43.472974,0.000000,4.748651,0.984046,100.659460,1,0,298.137970
1781381441,1,-79.930926,43.473304,0.000000,4.748651,0.854562,48.113431,1,0,297.268603
1781381489,1,-79.931478,43.473577,0.000000,4.748651,0.701609,53.992574,1,0,294.813485
1781381573,1,-79.932511,43.474072,0.000000,4.748652,0.547720,100.059496,1,0,292.025331
1781381677,1,-79.933575,43.474540,0.000000,4.748651,0.640588,100.581153,1,0,286.518698
1781381758,1,-79.934334,43.475258,0.000000,4.748651,1.161121,100.678127,1,0,283.421176
1781381855,1,-79.935113,43.475958,0.000000,4.748652,0.224796,100.111986,1,0,287.027428
1781381910,1,-79.935354,43.476445,0.000000,4.748651,0.817393,57.515574,1,0,289.835618
1781381948,1,-79.935785,43.476729,0.000000,4.748651,1.015502,47.029935,1,0,288.739761
1781382042,1,-79.936705,43.477334,0.000000,4.748652,0.817230,100.297997,1,0,293.178810
1781382127,1,-79.937766,43.477807,0.000000,4.748652,0.736097,100.656517,1,0,294.586378
1781382211,1,-79.938622,43.478462,0.000000,4.748652,0.373415,100.465393,1,0,298.463406
1781382315,1,-79.939181,43.479270,0.000000,4.748651,0.819207,100.524736,1,0,292.101004
1781382368,1,-79.939827,43.479558,0.000000,4.748652,0.546090,61.286246,1,0,298.891080
1781382402,1,-79.940198,43.479782,0.000000,4.748651,0.917734,38.993851,1,0,300.590942
1781382493,1,-79.940691,43.480608,0.000000,4.748651,1.006550,100.068807,1,0,299.008041
1781382862,1,-79.940973,43.481488,0.000000,4.748652,0.643364,100.401166,1,0,303.397288
1781383070,1,-79.940690,43.480610,0.000000,4.748652,0.325445,100.203252,1,0,301.342811
1781383155,1,-79.940196,43.479776,0.000000,4.748651,0.429616,100.915445,1,0,298.746085
1781383244,1,-79.939197,43.479245,0.000000,4.748651,0.976342,100.067009,1,0,290.633737
1781383340,1,-79.938623,43.478442,0.000000,4.748652,0.648704,100.581851,1,0,294.993289
1781383423,1,-79.937765,43.477786,0.000000,4.748651,0.887643,100.653635,1,0,294.303479
1781383503,1,-79.936712,43.477299,0.000000,4.748652,0.622802,100.924575,1,0,290.821253
1781383581,1,-79.935759,43.476721,0.000000,4.748651,0.590518,100.344856,1,0,291.616356
1781383617,1,-79.935354,43.476445,0.000000,4.748651,0.966692,44.878059,1,0,288.613037
1781383672,1,-79.935114,43.475944,0.000000,4.748652,0.700467,58.954602,1,0,287.936203
1781383761,1,-79.934314,43.475244,0.000000,4.748651,0.953674,101.187283,1,0,285.176473
1781383835,1,-79.933553,43.474526,0.000000,4.748651,1.617413,100.773955,1,0,285.568856
1781383950,1,-79.932456,43.474108,0.000000,4.748652,0.885427,100.176698,1,0,292.858026
1781384038,1,-79.931439,43.473573,0.000000,4.748651,0.820971,101.511842,1,0,296.496299
1781384080,1,-79.930909,43.473313,0.000000,4.748652,0.752647,51.705915,1,0,298.505185
